INFO 2024-08-10 14:43:34,607 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1722342987.4673626
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\paginator.py first seen with mtime 1722342985.4776244
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\random.py first seen with mtime 1722342057.1907535
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\wsgi.py first seen with mtime 1722342985.4982255
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1722342972.2497964
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\hashable.py first seen with mtime 1722342987.6279125
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1722342986.1900263
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\apps\__init__.py first seen with mtime 1722342964.565227
DEBUG 2024-08-10 14:43:34,940 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\gzip.py first seen with mtime 1722342017.593072
DEBUG 2024-08-10 14:43:34,940 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1722342986.3248906
DEBUG 2024-08-10 14:43:34,945 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1722342980.5915332
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1722342985.9562721
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1722342987.7797625
